mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_alpha,param_lambda,param_colsample_bytree,param_subsample
3.2734707991282144,0.525717110987465,0.8485177357991537,0.034284834969950835,3.0,16.0,"{'max_depth': 3, 'min_child_weight': 16}",0.9252168710738856,0.9259071768793576,0.9257567564458046,0.9256269347996824,0.0002963902507600194,31,random search for 1 group,2,,,,
2.7396838665008545,0.4599955852175274,0.5708574453989664,0.13450533998584435,4.0,17.0,"{'max_depth': 4, 'min_child_weight': 17}",0.926206309395062,0.9263558756529142,0.9256992303001714,0.9260871384493824,0.00028100660198682854,10,random search for 1 group,2,,,,
3.804510593414306,0.4281602663942152,0.6147719224294027,0.11437343163778825,7.0,2.0,"{'max_depth': 7, 'min_child_weight': 2}",0.9248717181711498,0.9242159276559516,0.9253195577389924,0.924802401188698,0.00045321332217127365,58,random search for 1 group,2,,,,
16.519452969233196,0.6306587372943165,0.8197148640950521,0.06517465773297412,18.0,6.0,"{'max_depth': 18, 'min_child_weight': 6}",0.9223866172714512,0.9225246784325456,0.9226503445816124,0.9225205467618696,0.00010770585424551475,127,random search for 1 group,2,,,,
7.968364477157593,0.9390504970526368,1.0045595169067385,0.3908186647790219,10.0,17.0,"{'max_depth': 10, 'min_child_weight': 17}",0.922835316045008,0.9223751121746934,0.9227884073311321,0.9226662785169444,0.00020677441170555177,117,random search for 1 group,2,,,,
4.255840063095094,0.9881096116171686,0.6687800884246826,0.15926575484743366,7.0,9.0,"{'max_depth': 7, 'min_child_weight': 9}",0.9252398812674014,0.9241468970754044,0.925423104801132,0.924936627714646,0.0005634113818196235,56,random search for 1 group,2,,,,
2.4576220512390137,0.36558896731164336,0.4599567254384359,0.08533884889476831,3.0,7.0,"{'max_depth': 3, 'min_child_weight': 7}",0.9252398812674014,0.9254124577187696,0.9258833139661976,0.9255118843174562,0.00027192602654011345,35,random search for 1 group,2,,,,
5.788223187128702,0.7048825171031441,0.6207442283630371,0.13424154105478187,9.0,2.0,"{'max_depth': 9, 'min_child_weight': 2}",0.9230193975931338,0.9231229434639544,0.923455710620477,0.9231993505591886,0.00018613757924167376,77,random search for 1 group,2,,,,
10.605401039123537,2.060340136882697,0.8784000078837076,0.05317111942266605,14.0,15.0,"{'max_depth': 14, 'min_child_weight': 15}",0.9210520260475392,0.9210060056605076,0.9220750831252804,0.9213777049444424,0.0004934786144217127,233,random search for 1 group,2,,,,
6.128788073857624,0.4700724325114786,0.8617943922678629,0.0522119459300293,8.0,19.0,"{'max_depth': 8, 'min_child_weight': 19}",0.9249292436549392,0.9243769990105616,0.9232256060379442,0.9241772829011484,0.0007096995494711832,63,random search for 1 group,2,,,,
3.1834107240041103,0.5459586241773202,0.9111828009287516,0.1094175178845521,1.0,12.0,"{'max_depth': 1, 'min_child_weight': 12}",0.9137002692192642,0.9118939690282796,0.9141940011735332,0.9132627464736924,0.0009886376424048321,235,random search for 1 group,2,,,,
2.142559846242269,0.4484043839944787,0.4383082389831543,0.05928089873949705,1.0,16.0,"{'max_depth': 1, 'min_child_weight': 16}",0.9137002692192642,0.9118939690282796,0.9141940011735332,0.9132627464736924,0.0009886376424048321,235,random search for 1 group,2,,,,
11.815867503484089,1.6936954462758598,0.7104671001434326,0.20659720301724288,16.0,9.0,"{'max_depth': 16, 'min_child_weight': 9}",0.9216502910789479,0.9226857497871556,0.9222476615621801,0.9221945674760944,0.00042438812470323807,179,random search for 1 group,2,,,,
5.6980498631795236,1.2873741473917593,0.8884099324544271,0.184379685313288,8.0,16.0,"{'max_depth': 8, 'min_child_weight': 16}",0.923836259462942,0.9237442186888792,0.923869898869036,0.9238167923402856,5.312314981531488e-05,66,random search for 1 group,2,,,,
14.452993790308636,1.9894576773855717,0.7974207401275635,0.3061990073348663,19.0,13.0,"{'max_depth': 19, 'min_child_weight': 13}",0.9218343726270738,0.9215237350146116,0.9220405674379004,0.921799558359862,0.00021242718492356963,209,random search for 1 group,2,,,,
5.879306554794312,0.9686204587687066,0.8236802419026693,0.3167882009719015,10.0,15.0,"{'max_depth': 10, 'min_child_weight': 15}",0.9234911065602062,0.9223636070779356,0.9233406583292106,0.9230651239891174,0.0004998354062809663,89,random search for 1 group,2,,,,
9.641372919082643,1.3218496845695784,0.9030957221984864,0.11430513402039698,13.0,18.0,"{'max_depth': 13, 'min_child_weight': 18}",0.9217308267562532,0.9225822039163348,0.9228919543932718,0.92240166168862,0.0004909181665365309,146,random search for 1 group,2,,,,
7.689975420633953,1.0336818470084703,0.7910526593526205,0.11672192814701082,12.0,19.0,"{'max_depth': 12, 'min_child_weight': 19}",0.9226972548839136,0.922743275270945,0.9222246511039268,0.9225550604195952,0.00023438885911516787,123,random search for 1 group,2,,,,
3.0069476763407383,0.5436863917973038,0.5773960749308268,0.2050523613737316,5.0,16.0,"{'max_depth': 5, 'min_child_weight': 16}",0.9263328654593984,0.9259762074599048,0.9265621224846692,0.9262903984679908,0.00024107631997721118,6,random search for 1 group,2,,,,
14.05329211552938,2.5340164166511525,0.8757123947143555,0.34827173474657713,14.0,4.0,"{'max_depth': 14, 'min_child_weight': 4}",0.9230424077866496,0.9225822039163348,0.9235592576826168,0.9230612897952004,0.00039910392400687903,90,random search for 1 group,2,,,,
13.293213764826454,0.7083680541993922,0.8481907049814859,0.030410550827006725,18.0,14.0,"{'max_depth': 18, 'min_child_weight': 14}",0.9220299592719576,0.921063531144297,0.9217299262514812,0.921607805555912,0.0004038819379456825,225,random search for 1 group,2,,,,
12.818765560785927,1.9544545548964463,0.7382431030273438,0.2572095891902214,14.0,5.0,"{'max_depth': 14, 'min_child_weight': 5}",0.9231689638509859,0.9226857497871556,0.9228804491641452,0.9229117209340956,0.00019850675986430008,103,random search for 1 group,2,,,,
4.0863626797993975,0.5436469292087767,0.8518362045288086,0.10328588903495292,5.0,10.0,"{'max_depth': 5, 'min_child_weight': 10}",0.9265974826848292,0.9264709266204928,0.9262169656108702,0.9264284583053976,0.0001582213201687017,5,random search for 1 group,2,,,,
15.023465474446617,1.5803436583525818,0.9305802981058756,0.20749156397504886,17.0,7.0,"{'max_depth': 17, 'min_child_weight': 7}",0.9223060815941462,0.922317586690904,0.9228919543932718,0.9225052075594408,0.00027351164133864847,132,random search for 1 group,2,,,,
12.611533800760903,0.8216662560552815,0.9475990931193032,0.22753910668938104,15.0,8.0,"{'max_depth': 15, 'min_child_weight': 8}",0.9215927655951588,0.92266273959364,0.9224892713738394,0.9222482588542128,0.0004688826188000065,171,random search for 1 group,2,,,,
3.80768624941508,0.6270656874818789,0.7255297501881918,0.11353864086527715,5.0,5.0,"{'max_depth': 5, 'min_child_weight': 5}",0.9269196253940496,0.9264939368140086,0.9263665335895164,0.926593365265858,0.0002364912244155283,1,random search for 1 group,2,,,,
8.190847396850586,0.7071718284351608,0.5641546249389648,0.19507947999787498,13.0,10.0,"{'max_depth': 13, 'min_child_weight': 10}",0.9215352401113692,0.9224786580455142,0.921453800752442,0.9218225663031084,0.00046511674028164464,203,random search for 1 group,2,,,,
3.4074668884277344,0.9671257794512691,0.7438429196675619,0.2367045880045892,5.0,19.0,"{'max_depth': 5, 'min_child_weight': 19}",0.9266550081686188,0.926631997975103,0.9262975022147566,0.926528169452826,0.00016337665743176052,2,random search for 1 group,2,,,,
25.167644421259567,1.43393529889004,0.9158411026000975,0.12917619359471513,19.0,2.0,"{'max_depth': 19, 'min_child_weight': 2}",0.9227087599806716,0.9222140408200832,0.9224777661447128,0.9224668556484892,0.00020211554642358032,143,random search for 1 group,2,,,,
