mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number,param_colsample_bytree,param_subsample
0.44685061772664386,0.10425864126626387,0.06685105959574382,0.019405389106191228,0.3303970955193489,0.959163538114781,"{'alpha': 0.3303970955193489, 'lambda': 0.959163538114781}",0.6153480096671116,0.6189378922747926,0.6683713808270254,0.6342190942563098,0.024193743306764822,166,106,random search for 2 group,5,,
0.3644811312357585,0.007866590892218746,0.05532232920328776,0.002425338768951662,0.2520658618526854,0.40680590897022206,"{'alpha': 0.2520658618526854, 'lambda': 0.40680590897022206}",0.6198186372919174,0.6224392646839945,0.6769626528941207,0.6397401849566776,0.026341994501777516,44,107,random search for 2 group,5,,
0.3708585898081462,0.014044450564100038,0.053853511810302734,0.000489253204281806,0.08724360164090272,0.574349729187528,"{'alpha': 0.08724360164090272, 'lambda': 0.574349729187528}",0.6069883694880545,0.6226923141921357,0.6738871619512122,0.6345226152104675,0.02856371970286107,157,108,random search for 2 group,5,,
0.4210882981618245,0.03922984690528093,0.0675971508026123,0.01963754589345847,0.467307969014634,0.7801701596366486,"{'alpha': 0.467307969014634, 'lambda': 0.7801701596366486}",0.6183456283861153,0.6289302329174788,0.6689215076913364,0.6387324563316435,0.021779846644240815,61,109,random search for 2 group,5,,
0.3744924068450928,0.00949165984526102,0.05310289065043131,0.0009934059715156248,0.14935802557304467,0.6920193199225857,"{'alpha': 0.14935802557304467, 'lambda': 0.6920193199225857}",0.6190322120480567,0.6299809133690986,0.6710789061541005,0.6400306771904186,0.022404804640824373,40,110,random search for 2 group,5,,
0.36894981066385907,0.007120510037032816,0.05302294095357259,0.0003464036439778162,0.6313616312547297,0.3321121540729596,"{'alpha': 0.6313616312547297, 'lambda': 0.3321121540729596}",0.6063070042285623,0.6223345943278624,0.6679045661051722,0.632182054887199,0.026093348665722764,211,111,random search for 2 group,5,,
0.36630988121032715,0.005509894385460917,0.05428616205851237,0.0008609138372491492,0.6204152587012106,0.10692601896865384,"{'alpha': 0.6204152587012106, 'lambda': 0.10692601896865384}",0.600332732661258,0.6350822077044578,0.6773411020789837,0.6375853474815665,0.03148832081531221,79,112,random search for 2 group,5,,
0.36592896779378253,0.002643871345882061,0.06297914187113444,0.0127334258227324,0.09686728862938054,0.9592830092444534,"{'alpha': 0.09686728862938054, 'lambda': 0.9592830092444534}",0.6033548101674527,0.6299631313412625,0.6576506367296377,0.6303228594127843,0.022167637804267726,252,113,random search for 2 group,5,,
0.36295684178670246,0.006832994564424968,0.05358807245890299,0.0008336472439919267,0.5872452476507669,0.08809707631094343,"{'alpha': 0.5872452476507669, 'lambda': 0.08809707631094343}",0.5978080558452988,0.6094192731122845,0.6657808337876163,0.6243360542483999,0.029686780502393952,305,114,random search for 2 group,5,,
0.40411559740702313,0.04301944079905166,0.0833276907602946,0.02154457953886706,0.012500970135244538,0.07312755685573002,"{'alpha': 0.012500970135244538, 'lambda': 0.07312755685573002}",0.6024193679397691,0.6378569213944123,0.6786712905838646,0.6396491933060153,0.031155503587478928,47,115,random search for 2 group,5,,
0.4071165720621745,0.06358209552448826,0.054946502049764,0.0026334375357732615,0.16020906503732024,0.004914179783343187,"{'alpha': 0.16020906503732024, 'lambda': 0.004914179783343187}",0.6169549476074806,0.6330360964421362,0.6781748064292326,0.6427219501596165,0.025914340948801944,20,116,random search for 2 group,5,,
0.421100378036499,0.028619224424465385,0.08316961924235027,0.026031177760041043,0.23326666440835886,0.11723066771727675,"{'alpha': 0.23326666440835886, 'lambda': 0.11723066771727675}",0.6063030290397513,0.6284244992815189,0.6689190617469026,0.6345488633560575,0.0259271127648759,154,117,random search for 2 group,5,,
0.3725443681081136,0.005870283846648557,0.05411100387573242,0.0006082714479782135,0.012054908685556476,0.9770539053403932,"{'alpha': 0.012054908685556476, 'lambda': 0.9770539053403932}",0.6138527573381001,0.6270067726077705,0.6515075864546527,0.6307890388001745,0.01560343321434625,243,118,random search for 2 group,5,,
0.368073304494222,0.009544185091833347,0.05282266934712728,0.0005213336246103317,0.7776962407367989,0.5732358218733962,"{'alpha': 0.7776962407367989, 'lambda': 0.5732358218733962}",0.6227249648999732,0.6210744960046213,0.6650343210731918,0.6362779273259288,0.020345001808869476,107,119,random search for 2 group,5,,
0.3669305642445882,0.011944691392740705,0.05446616808573405,0.0003035852422245582,0.0154200026343837,0.7100686047184178,"{'alpha': 0.0154200026343837, 'lambda': 0.7100686047184178}",0.610897649510284,0.620601767805455,0.6569958308588528,0.6294984160581972,0.019843107006567818,260,120,random search for 2 group,5,,
0.36536892255147296,0.004728015265985974,0.05444208780924479,0.0005308310764329961,0.5571080111041393,0.09246935596295214,"{'alpha': 0.5571080111041393, 'lambda': 0.09246935596295214}",0.6151114384381734,0.6393822450072424,0.6649003370606948,0.6397980068353702,0.02032835868000211,42,121,random search for 2 group,5,,
0.36323006947835285,0.006512252043781923,0.05343111356099447,0.0006380816565211676,0.39690416008844165,0.40995157487544676,"{'alpha': 0.39690416008844165, 'lambda': 0.40995157487544676}",0.6173330416264201,0.6188616857826168,0.6720787429041764,0.6360911567710711,0.025454717375564807,112,122,random search for 2 group,5,,
